year,state,state_name,summary,duration_seconds
2022,IL,Illinois,The craft was seen in the Northeast sky moving westbound at 6:05 pm 11/22/2022.,30
2022,MN,Minnesota,Orangish zigzag diamond shaped thing,120
2022,IL,Illinois,West Chicago (12:00am 11/11/2022),540
2022,FL,Florida,"Driving near air port when noticed 3 lights in night sky moving together. Stayed a perfect triangle entire time, looked like ship.",300
2022,MI,Michigan,Craft was moving slowly south flying low and had a bright lights,30
2022,ID,Idaho,Dark triangle with white lights on the corners.,180
2022,ID,Idaho,My back yard,180
2022,CA,California,A flying pyramid with wings,1200
2022,KS,Kansas,Triangle formation of white lights.,1200
2022,PA,Pennsylvania,Four orange lights hovering and then disappeared,60
2022,GA,Georgia,Witnessed enormous football sized aircraft craft overhead.,180
2022,NY,New York,"Super fast triangle shaped craft, no noise, a white light on each corner, moved from direct 90 degrees above to horizon in 6 seconds",6
2022,OR,Oregon,A leaf was doing gymnastics that seemed to defy any reality I know.,1200
2022,SC,South Carolina,Triangle w 3 lights moved as one huge object.,20
2022,AR,Arkansas,Saw three lights in a triangle shape about 80 over a house not moving.,20
2022,FL,Florida,"3 triangular shaped crafts, dark, silent, no lights, very fast, in formation",5
2022,NC,North Carolina,Three triangle shaped aircraft flying at low altitude silently.,120
2022,CA,California,UFO Hovering over apartment complexes in the area t,30
2022,ID,Idaho,1 aircraft NE to SW. No sound. Approx 1k AGL.,60
2022,AZ,Arizona,Triangle Formation of 3 lights,45
2022,GA,Georgia,I seen a tranlge ship moving about 20 miles per hour...,120
2022,MO,Missouri,I saw a triangle craft pass by me over head with lights shining directly down located on each corner. Triangle shape was clear.,3
2022,NH,New Hampshire,I read in the clouds I'm so sorry then a ufo 777 which makes a pyramid flew into the words then zoomed off into atmosphere then a,420
2022,AZ,Arizona,Grey triangle craft flying extremely low or very large going an estimated 80 miles and hour flew straight overhead going beyond treelin,10
2022,CA,California,This is the third time Ive seen this object except this time had 3 white static lights other times 5 warm white,6
2022,AZ,Arizona,Craft thought to be a a shooting star when examined and slowed down its a triangular shaped craft,6
2022,OH,Ohio,Triangle with red lights,300
2022,CA,California,Its was a black triangles shape ufo,60
2022,NJ,New Jersey,Flying in sky like a row of lights than turning in mid air like a rotation than flipping upwards and zooming up,60
2022,CO,Colorado,"Triangle shaped craft over Westminster, CO",5
2022,PA,Pennsylvania,Walking home from store and noticed a series of lights on the triangular shaped object which moved below clouds and heard no sound.,5
2022,CA,California,"V shaped silent craft traveling west to east about 500 feet above with 12 to 14 white lights in the V shaped, pointed front formation.",25
2022,CA,California,"Extremely fast moving, dimly lit, triangular shaped object in sky.",15
2022,CA,California,Triangular craft with round white lights flying low due east over Sacramento,5
2022,WA,Washington,We viewed a triangle shaped craft. it lingered for about 5-6 mins. It was not like the Starlink videos I have viewed,360
2022,DE,Delaware,Saw craft with bright triangle light trail moving slowly,60
2022,MD,Maryland,Bright triangle light,20
2022,TN,Tennessee,triangle shape no flashing lights red triangle grid on underside,480
2022,FL,Florida,Orange shape,60
2022,FL,Florida,Large Dark triangle shaped craft without lights 60-80ft wingspan and was silent as a whisper,12
2022,ME,Maine,I saw one small Aircraft do what looked like a traffic pattern and another seem do a decent through the cloud layer.,300
