post_id,city,price,beds,baths,sqft
4656166449,brentwood,1850,3,2.5,1487
pre2013_53494,brentwood,1700,3,2,1315
pre2013_78732,brentwood,2550,4,3,2800
pre2013_60927,brentwood,2100,4,2.5,2306
pre2013_60589,brentwood,1695,3,2.5,1600
pre2013_13957,brentwood,1545,3,2.5,1460
5382665689,brentwood,1626,1,1,715
5382734011,brentwood,2350,4,2.5,1860
pre2013_39560,brentwood,1750,2,2,1734
pre2013_50944,brentwood,1650,3,2.5,1450
pre2013_40005,brentwood,2000,5,3,2488
5626677363,brentwood,1900,3,2,1270
5429265620,brentwood,2500,3,3,2400
pre2013_135418,brentwood,3300,5,4,3300
5538079669,brentwood,1555,1,1,715
4678220236,brentwood,1550,3,2,1200
pre2013_60579,brentwood,1395,3,2,1600
pre2013_24263,brentwood,2580,5,3,3120
pre2013_58087,brentwood,2580,5,3,3120
pre2013_33774,brentwood,1650,3,2.5,1511
pre2013_13966,brentwood,2100,4,2.5,2613
pre2013_18724,brentwood,2300,4,3,2370
pre2013_49338,brentwood,1700,4,2.5,1765
5639395034,brentwood,2150,3,2,1747
pre2013_18898,brentwood,1750,3,3,1795
4227605653,brentwood,2000,4,2.5,22000
pre2013_24073,brentwood,2050,4,3,2400
6433068599,brentwood,1780,1,1,740
pre2013_64545,brentwood,1995,4,3,2023
pre2013_54565,brentwood,1450,2,2.5,1411
pre2013_17936,brentwood,1475,2,2,1354
4678211862,brentwood,2390,4,2,2300
4264291344,brentwood,1750,3,2.5,1700
pre2013_18774,brentwood,1600,3,2,1100
6565274842,brentwood,2800,4,2,1964
pre2013_42077,brentwood,1550,3,2,1373
pre2013_150386,brisbane,1945,2,2,1200
pre2013_62235,brisbane,1650,2,1,950
pre2013_36529,brisbane,2500,3,2,1550
pre2013_33916,brisbane,2850,3,2,1663
5303417380,brisbane,3395,2,2,1280
pre2013_14892,brisbane,1490,3,2,1500
pre2013_36679,brisbane,2500,2,2,1550
pre2013_81348,brisbane,3500,4,3,2718
4835283328,brisbane,2000,1,1,900
pre2013_32895,brisbane,2500,3,2,1550
4100753301,brisbane,3350,3,2,1640
4827106849,brisbane,4950,4,2.5,2050
pre2013_43363,brisbane,2350,3,2,1550
4268028746,brisbane,1695,1,1,650
pre2013_43131,brisbane,2350,3,2,1552
pre2013_69210,burlingame,8800,4,2.5,4430
5756561582,burlingame,3500,2,2.5,1400
pre2013_63877,burlingame,1295,1,1,600
pre2013_36550,burlingame,2380,2,2,1014
pre2013_72569,burlingame,8800,4,2.5,4430
pre2013_42622,burlingame,2100,2,1,806
4817232891,burlingame,3235,2,2,1014
pre2013_64590,burlingame,2850,2,2,1400
5280412388,burlingame,3163,2,2,1380
4667032360,burlingame,3008,2,2,1300
pre2013_51042,burlingame,6000,4,2,2600
pre2013_40077,burlingame,1800,2,1,900
5354327307,burlingame,3725,1,1,850
5785501287,burlingame,4500,4,2,1700
5283282157,burlingame,2575,2,1,850
5943039063,burlingame,2695,2,1,800
5932960830,burlingame,2395,1,2,700
pre2013_35718,burlingame,1425,0,1,520
4645335453,burlingame,2900,2,2,1450
5938111924,burlingame,1995,0,2,520
4634366243,burlingame,2100,1,1,850
pre2013_32483,burlingame,6250,4,3.5,3500
5023874312,burlingame,5400,3,2,1780
4645330947,burlingame,2850,2,2,1450
pre2013_49766,burlingame,2585,2,2,1450
5077291820,burlingame,3837,2,2,1365
5403531056,burlingame,3900,2,2,1288
4834950395,burlingame,2100,1,1,750
5066090792,burlingame,3832,2,2,1365
4935250916,burlingame,2436,1,1,598
6397327942,burlingame,4400,3,2,1679
pre2013_61835,burlingame,1595,1,1,800
pre2013_51668,burlingame,3200,2,2,1220
pre2013_52630,burlingame,1685,1,1,674
pre2013_57864,burlingame,3300,3,1,1300
pre2013_45286,burlingame,2800,2,1,1800
5410754277,burlingame,4827,3,2,1971
4803169230,burlingame,4150,2,2,1750
6388387770,burlingame,4505,3,2,1679
5291397823,burlingame,3301,2,2,1014
pre2013_22005,burlingame,2825,2,2,1350
pre2013_21547,burlingame,1450,0,1,520
pre2013_67258,burlingame,2480,2,2,1050
4977633208,burlingame,3530,2,1,1014
3562630165,burlingame,4350,3,2,1400
6480257147,burlingame,4000,2,1,1123
5981916847,burlingame,2500,1,1,736
5088666561,burlingame,2536,0,1,598
pre2013_46044,burlingame,3600,3,2,1500
pre2013_40060,burlingame,5700,4,2.5,3000
5981699242,burlingame,4300,2,1,1395
pre2013_11941,burlingame,4995,4,3.5,2750
4935262408,burlingame,3600,3,1,1070
5088650565,burlingame,5095,3,2,1679
4678148594,burlingame,4000,2,2,1381
pre2013_40972,burlingame,1850,2,2,1050
pre2013_40970,burlingame,2050,2,2,994
4700059368,burlingame,4350,2,2,1750
4643497323,burlingame,4650,2,2,1750
pre2013_72057,burlingame,2450,2,2,1090
pre2013_36129,burlingame,1635,1,1,754
pre2013_32922,burlingame,1635,1,1,674
pre2013_108326,burlingame,2100,2,2,1300
pre2013_65064,burlingame,1800,2,1,1100
6256027693,campbell,2445,2,1,855
pre2013_15266,campbell,1895,2,2,1005
pre2013_70499,campbell,1775,2,1,855
5819602786,campbell,2095,1,1,645
4623102084,campbell,1150,1,1.5,1000
4623017281,campbell,1875,2,1,1150
5460197097,campbell,2818,2,2,850
5460180831,campbell,3595,3,2,1200
4659131700,campbell,2495,3,2,1100
pre2013_59246,campbell,1675,2,1,855
4645298214,campbell,2700,2,2,1070
5663731880,campbell,2750,2,2,950
4645239559,campbell,1675,1,1,925
5669844261,campbell,2151,1,1,816
5269394726,campbell,2859,1,1,801
pre2013_140462,campbell,1000,2,1,900
4137808779,campbell,3675,3,3,1289
4946074230,campbell,2995,3,2,1387
4946004130,campbell,2595,2,1.5,1024
5269349388,campbell,2705,1,1,768
6376626284,campbell,2649,2,1.5,982
6287960093,campbell,2208,1,1,700
pre2013_42436,campbell,2750,4,2,1510
4586742422,campbell,2700,2,2,1070
5269348748,campbell,2915,2,2,1064
5796464520,campbell,3150,3,2,1170
pre2013_60863,campbell,1854,2,1,900
5419037471,campbell,3025,2,2,1064
5727258937,campbell,2049,1,1,647
4250592766,campbell,2895,2,2.5,1300
pre2013_63713,campbell,1650,2,1,810
5807467742,campbell,3300,3,1,900
pre2013_47401,campbell,2750,4,2,1510
pre2013_22741,campbell,1550,1,1,750
pre2013_16218,campbell,1475,2,1.5,900
pre2013_53143,campbell,2100,2,1.5,1150
5493025760,campbell,895,0,1,250
5807438812,campbell,2800,3,2,1000
5825931152,campbell,2035,1,1,665
pre2013_22274,campbell,3195,5,2,2200
5729789088,campbell,2045,1,1,686
4946000668,campbell,1995,1,1,550
5819626707,campbell,2707,2,1.5,982
3799938990,campbell,2700,4,2,1500
pre2013_59211,campbell,1800,2,2,884
pre2013_54868,campbell,1950,2,1,860
4587968341,campbell,2700,2,2,1070
5403548361,campbell,1725,1,1,700
4257027330,campbell,1803,1,1,790
4611918552,campbell,2025,3,3.5,1450
4810557688,campbell,2300,3,2,1200
5807561047,campbell,3600,3,2,1500
4442198416,campbell,1550,2,1,900
6287058338,campbell,2371,1,1,816
4656289734,campbell,1650,1,1.5,900
5963655135,campbell,2725,2,2,971
5393139714,campbell,3795,3,2.5,1366
pre2013_60475,campbell,1854,2,1,900
pre2013_21640,campbell,1995,2,2,1005
pre2013_21828,campbell,2250,2,2.5,1325
5257335394,campbell,2095,2,1,850
5592524437,campbell,2050,2,1,650
pre2013_15359,campbell,1895,2,2,1005
pre2013_66666,campbell,1765,2,1,870
5536555645,campbell,2492,2,1,870
pre2013_54456,campbell,3595,5,2,2200
pre2013_83316,campbell,1595,2,2,1005
pre2013_132143,campbell,1750,2,2.5,1400
5830633447,campbell,3600,3,2,1500
6303150985,campbell,2445,2,1,855
pre2013_159398,campbell,1595,2,2,1005
pre2013_68018,campbell,1995,2,2,1036
5806780907,campbell,2270,1,1,672
5824261097,campbell,2755,2,2,971
pre2013_7612,campbell,1795,2,2,1005
4787573491,campbell,2700,2,2,1200
pre2013_42875,campbell,1920,2,2,1005
pre2013_8679,campbell,2600,4,2,1700
pre2013_42859,campbell,1420,1,1,700
pre2013_130198,campbell,1220,2,2,1005
5077327298,campbell,3000,3,2,1200
4844000490,campbell,3500,3,2.5,1238
pre2013_14787,campbell,1100,1,1,650
6335415348,campbell,4500,4,3,1718
pre2013_62137,campbell,1688,2,1,870
pre2013_62453,campbell,2000,3,2,1100
5339255244,campbell,2195,2,1,900
4648144091,campbell,1895,2,1,825
4855444873,campbell,1895,1,1,550
pre2013_58056,campbell,1495,1,1,700
5536568302,campbell,2584,2,2,800
5536555971,campbell,2640,2,2,850
4826642512,campbell,2300,3,2,1200
5752380425,campbell,2695,2,2,1008
4689251389,campbell,1150,1,1,950
pre2013_13638,campbell,1100,1,1,650
4678044324,campbell,2150,2,1,840
4977652219,campbell,2595,2,1.5,1024
pre2013_5598,campbell,1795,2,2,1005
4825308914,campbell,2030,1,1,750
pre2013_49306,campbell,1535,2,1.5,850
4678198533,campbell,1375,2,1.5,1075
5782098681,campbell,2425,2,1,855
pre2013_161630,campbell,1350,2,2,1200
4834903493,campbell,1850,1,1,550
pre2013_32729,campbell,2275,3,2,1800
4812043721,campbell,2300,3,2,1200
pre2013_65244,campbell,2550,3,2,1432
5672598004,campbell,3800,2,2,1659
4710720783,campbell,1600,1,1,750
6305944899,campbell,2590,2,1,815
4797221846,campbell,1300,3,2,2417
pre2013_49305,campbell,1795,2,1,1035
5780313471,campbell,2300,2,1,900
4700144473,campbell,2850,3,1,1568
4834905245,campbell,1850,1,1,550
5830629518,campbell,2133,2,1,879
5742053617,campbell,2250,2,1,900
4689226015,campbell,1525,3,2,1250
pre2013_48382,campbell,2750,4,2,1510
4797392398,campbell,1300,1,1,440
pre2013_71419,campbell,2295,2,2,1005
pre2013_61648,campbell,2180,2,2,900
pre2013_69996,campbell,1882,2,2,980
5429331507,campbell,2695,2,2,850
6424475932,campbell,2552,2,2,850
5782162025,campbell,2135,1,1,665
4855519214,campbell,2775,3,1,1340
4834890803,campbell,1850,1,1,550
4636040530,campbell,3500,4,2,1700
pre2013_61674,campbell,1950,2,2,1118
4689210744,campbell,2250,2,2,900
4956731385,campbell,1950,2,1,817
pre2013_6509,campbell,1695,2,2,1005
5413975211,campbell,1950,1,1,600
4834901808,campbell,1850,1,1,550
6255775179,campbell,2445,2,1,855
5419590334,campbell,2250,2,1,860
pre2013_41171,campbell,2600,3,2,1640
4634351950,campbell,1870,1,1,750
5496428969,campbell,3195,3,2,1661
pre2013_6089,campbell,1645,2,1,965
